Núm,Projeto,Relator,Atribuído a,Categoria,Data de Envio,Atualizado,Estado,Resumo,Corrigido na Versão,Data Limite,Descrição
0005106,C Projeto GPFB,Ronaldo,Isaias,[C Projeto GPFB]-[Cat] Orçamento / Pedido de Compra,2020-01-09,2020-01-09,fechado,Erro ao imprimir orçamento,,,"Ao marcar impressão reduzida do orçamento o sistema apresenta erro, bases 2.0"
0004355,M Projeto GPFB,Ronaldo,Isaias,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-08-14,2020-01-09,fechado,Criar campo de totalizador de IPI e valor unitário de IPI,,,"Adicionar campo na tela de lançamento de itens para totalizar os valores do IPI dos produtos e outro para apresentar o valor do IPI por produto.

Ao final dos lançamentos o sistema deverá comprar o valor total do IPI dos produtos com o valor do IPI da nota, caso estejam diferentes o sistema deverá informar ao usuário e perguntar se deseja continuar mesmo assim"
0005100,C Projeto Contagem,Matheus,Tiago,Geral,2020-01-08,2020-01-08,fechado,Corrigir função de ajuste no Contagem,,,Corrigir função de ajuste no Contagem
0005101,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,GP não abre e fica travado nos 10% na inicialização,,,GP não abre e fica travado nos 10% na inicialização
0005102,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,Erro ao consultar data e hora do MFE na tela de listagem,,,Erro ao consultar data e hora do MFE na tela de listagem
0005103,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,Erro ao imprimir DAV na GIGI,,,Erro de access denied ao imprimir em impressora compartilhada na GIGI
0005104,Suporte,Jackson,Jackson,Atendimento ao suporte,2020-01-08,2020-01-08,fechado,Picote do dav não estava saindo em duas vias na impressão quando selecionado 1 via do DAV,,,Picote do dav não estava saindo em duas vias na impressão quando selecionado 1 via do DAV
0004938,M Projeto GPFB,Amorim,Claudio,[M Projeto GPFB]-[Cat] Entrada de Mercadoria,2019-11-26,2020-01-08,fechado,Importar XML da base do site da Fazenda Nacional a partir da entrada de mercadorias,,,"Baixar o XML das notas de fornecedores a partir do site da Fazenda Nacional, utilizando o certificado digital do cliente para fazer a importação diretamente para entrada de mercadorias"
0005096,M Projeto GPFB,Jackson,Jackson,[M Projeto GPFB]-[Cat] Geral,2020-01-07,2020-01-08,fechado,Alterar componente de código de barras da sislibrary para compilar no delphi novo para migração do Delphi 7,,,Alterar componente de código de barras da sislibrary para compilar no delphi novo para migração do Delphi 7
0005097,C Projeto GPFB,Matheus,Tiago,[C Projeto GPFB]-[Cat] Relatórios,2020-01-07,2020-01-08,fechado,Disparidades entres os relatório de Notas de Saídas e Notas de Saídas com Produtos.,,,"RELATÓRIO DE NOTAS DE SAÍDAS 
PERÍODO 16/12/2019 A 31/12/2019
VENDEDORAS 003-NEIDE
VALOR R$ 33.590.54

RELATÓRIO DE NOTAS DE SAÍDAS COM PRODUTOS
PERÍODO 16/12/2019 A 31/12/2019
VENDEDORAS 003-NEIDE
VALOR R$ 41.031,51"
0005072,M Projeto GPFB,Ronaldo,Bruno,[M Projeto GPFB]-[Cat] Outras,2019-12-30,2020-01-07,fechado,Modificar filtro de aplicação da regra de tributação,,,"Substituir o filtro de marca pelo filtro NCM, em campo digitável como no cadastro de produto"
